"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Nick Chubb","RB","HOU","32","26","33","30","24","","","","","","","","","","","","","","145","29.0"
"Darnell Mooney","WR","ATL","0","57","59","29","bye","","","","","","","","","","","","","","145","48.3"
"Jerome Ford","RB","CLE","41","35","24","18","26","","","","","","","","","","","","","","144","28.8"
"Rico Dowdle","RB","CAR","22","25","23","27","47","","","","","","","","","","","","","","144","28.8"
"Kalif Raymond","WR","DET","44","32","33","33","2","","","","","","","","","","","","","","144","28.8"
"Marvin Mims Jr.","WR","DEN","40","21","23","32","27","","","","","","","","","","","","","","143","28.6"
"Brock Purdy","QB","SF","76","0","0","66","0","","","","","","","","","","","","","","142","71.0"
"Tutu Atwell","WR","LAR","25","26","25","21","45","","","","","","","","","","","","","","142","28.4"
"Derrick Henry","RB","BAL","29","34","28","22","28","","","","","","","","","","","","","","141","28.2"
"Adam Thielen","WR","MIN","32","38","45","12","14","","","","","","","","","","","","","","141","28.2"
"Mo Alie-Cox","TE","IND","33","25","28","19","35","","","","","","","","","","","","","","140","28.0"
"Ray-Ray McCloud III","WR","ATL","55","15","46","23","bye","","","","","","","","","","","","","","139","34.8"
"Rachaad White","RB","TB","14","25","20","30","49","","","","","","","","","","","","","","138","27.6"
"Grant Calcaterra","TE","PHI","37","53","13","28","7","","","","","","","","","","","","","","138","27.6"
"Tory Horton","WR","SEA","28","26","28","24","30","","","","","","","","","","","","","","136","27.2"
"Gunnar Helm","TE","TEN","23","22","27","20","44","","","","","","","","","","","","","","136","27.2"
"Davis Allen","TE","LAR","22","25","25","22","41","","","","","","","","","","","","","","135","27.0"
"Olamide Zaccheaus","WR","CHI","30","30","34","41","bye","","","","","","","","","","","","","","135","33.8"
"Kenneth Walker III","RB","SEA","21","23","30","33","27","","","","","","","","","","","","","","134","26.8"
"Quinshon Judkins","RB","CLE","0","20","36","39","39","","","","","","","","","","","","","","134","33.5"
"KaVontae Turpin","WR","DAL","28","14","49","42","0","","","","","","","","","","","","","","133","33.3"
"Kareem Hunt","RB","KC","23","24","32","32","21","","","","","","","","","","","","","","132","26.4"
"Zach Charbonnet","RB","SEA","30","36","0","31","35","","","","","","","","","","","","","","132","33.0"
"Elijah Arroyo","TE","SEA","16","26","28","36","26","","","","","","","","","","","","","","132","26.4"
"Jonnu Smith","TE","PIT","37","35","45","13","bye","","","","","","","","","","","","","","130","32.5"
"Tyler Johnson","WR","NYJ","33","45","48","0","3","","","","","","","","","","","","","","129","32.3"
"Ja'Tavion Sanders","TE","CAR","39","56","34","0","0","","","","","","","","","","","","","","129","43.0"
"Kyle Juszczyk","RB","SF","37","10","22","23","36","","","","","","","","","","","","","","128","25.6"
"Jackson Hawes","TE","BUF","16","35","26","31","20","","","","","","","","","","","","","","128","25.6"
"Mike Gesicki","TE","CIN","16","36","17","27","31","","","","","","","","","","","","","","127","25.4"
"Jeremy Ruckert","TE","NYJ","29","17","28","25","28","","","","","","","","","","","","","","127","25.4"
"Chris Moore","WR","WAS","19","0","33","40","35","","","","","","","","","","","","","","127","31.8"
"Charlie Kolar","TE","BAL","31","33","29","14","20","","","","","","","","","","","","","","127","25.4"
"Zay Jones","WR","ARI","31","28","33","0","34","","","","","","","","","","","","","","126","31.5"
"David Montgomery","RB","DET","25","23","25","20","33","","","","","","","","","","","","","","126","25.2"
"Trey Benson","RB","ARI","22","24","40","37","0","","","","","","","","","","","","","","123","30.8"
"TreVeyon Henderson","RB","NE","25","19","34","15","30","","","","","","","","","","","","","","123","24.6"
"Brycen Tremayne","WR","CAR","19","15","16","56","17","","","","","","","","","","","","","","123","24.6"
"Jordan Addison","WR","MIN","0","0","0","73","49","","","","","","","","","","","","","","122","61.0"
"Luke Schoonmaker","TE","DAL","15","26","27","19","33","","","","","","","","","","","","","","120","24.0"
"Chimere Dike","WR","TEN","10","28","29","20","33","","","","","","","","","","","","","","120","24.0"
"Justice Hill","RB","BAL","23","22","29","32","13","","","","","","","","","","","","","","119","23.8"
"Christian Kirk","WR","HOU","0","0","42","43","34","","","","","","","","","","","","","","119","39.7"
"Nick Westbrook-Ikhine","WR","MIA","21","16","15","27","39","","","","","","","","","","","","","","118","23.6"
"Woody Marks","RB","HOU","7","13","30","40","27","","","","","","","","","","","","","","117","23.4"
"Darnell Washington","TE","PIT","26","23","20","48","bye","","","","","","","","","","","","","","117","29.3"
"Jaylin Lane","WR","WAS","21","36","14","25","20","","","","","","","","","","","","","","116","23.2"
"Evan Engram","TE","DEN","26","25","0","35","30","","","","","","","","","","","","","","116","29.0"
"Johnny Mundt","TE","JAC","33","19","18","25","20","","","","","","","","","","","","","","115","23.0"
"Marcus Mariota","QB","WAS","0","0","58","57","0","","","","","","","","","","","","","","115","57.5"
"DeMario Douglas","WR","NE","45","15","29","8","17","","","","","","","","","","","","","","114","22.8"
"Ian Thomas","TE","LV","20","7","19","29","38","","","","","","","","","","","","","","113","22.6"
"Pat Freiermuth","TE","PIT","28","31","38","15","bye","","","","","","","","","","","","","","112","28.0"
"Daniel Bellinger","TE","NYG","15","19","16","24","38","","","","","","","","","","","","","","112","22.4"
"Josh Oliver","TE","MIN","27","14","21","21","29","","","","","","","","","","","","","","112","22.4"
"Tyler Conklin","TE","LAC","28","29","22","12","20","","","","","","","","","","","","","","111","22.2"
"Kenneth Gainwell","RB","PIT","30","26","14","41","bye","","","","","","","","","","","","","","111","27.8"
"Jamari Thrash","WR","CLE","21","20","12","28","28","","","","","","","","","","","","","","109","21.8"
"Jacory Croskey-Merritt","RB","WAS","23","15","23","20","28","","","","","","","","","","","","","","109","21.8"
"Jack Stoll","TE","NO","18","18","23","24","25","","","","","","","","","","","","","","108","21.6"
"Trent Sherfield Sr.","WR","DEN","26","22","22","22","16","","","","","","","","","","","","","","108","21.6"
"Adonai Mitchell","WR","IND","15","7","24","54","6","","","","","","","","","","","","","","106","21.2"
"Casey Washington","WR","ATL","72","0","0","34","bye","","","","","","","","","","","","","","106","53.0"
"Alec Ingold","RB","MIA","13","20","25","31","16","","","","","","","","","","","","","","105","21.0"
"Chris Godwin Jr.","WR","TB","0","0","0","58","47","","","","","","","","","","","","","","105","52.5"
"Jaylen Warren","RB","PIT","25","36","43","0","bye","","","","","","","","","","","","","","104","34.7"
"RJ Harvey","RB","DEN","22","19","15","33","15","","","","","","","","","","","","","","104","20.8"
"J.J. McCarthy","QB","MIN","56","47","0","0","0","","","","","","","","","","","","","","103","51.5"
"Eric Saubert","TE","SEA","9","24","26","26","17","","","","","","","","","","","","","","102","20.4"
"Tylan Wallace","WR","BAL","16","28","32","22","4","","","","","","","","","","","","","","102","20.4"
"Tanner Conner","TE","MIA","28","26","26","9","11","","","","","","","","","","","","","","100","20.0"
"Marquez Valdes-Scantling","WR","SF","27","9","17","0","46","","","","","","","","","","","","","","99","24.8"
"Drew Ogletree","TE","IND","27","12","19","10","30","","","","","","","","","","","","","","98","19.6"
"Tip Reiman","TE","ARI","34","0","33","6","25","","","","","","","","","","","","","","98","24.5"
"Mitchell Evans","TE","CAR","9","6","20","37","26","","","","","","","","","","","","","","98","19.6"
"Pat Bryant","WR","DEN","4","14","13","27","40","","","","","","","","","","","","","","98","19.6"
"Demarcus Robinson","WR","SF","0","0","0","25","73","","","","","","","","","","","","","","98","49.0"
"Colby Parkinson","TE","LAR","29","0","21","21","25","","","","","","","","","","","","","","96","24.0"
"Xavier Worthy","WR","KC","3","0","0","43","49","","","","","","","","","","","","","","95","31.7"
"James Conner","RB","ARI","43","30","20","0","0","","","","","","","","","","","","","","93","31.0"
"Allen Lazard","WR","NYJ","0","22","17","27","27","","","","","","","","","","","","","","93","23.3"
"Samaje Perine","RB","CIN","13","20","15","15","29","","","","","","","","","","","","","","92","18.4"
"Ben Sinnott","TE","WAS","8","3","33","27","19","","","","","","","","","","","","","","90","18.0"
"Kendre Miller","RB","NO","11","11","20","21","26","","","","","","","","","","","","","","89","17.8"
"Tyrone Tracy Jr.","RB","NYG","50","28","11","0","0","","","","","","","","","","","","","","89","29.7"
"Ashton Dulin","WR","IND","10","10","9","12","47","","","","","","","","","","","","","","88","17.6"
"Payne Durham","TE","TB","15","17","23","15","18","","","","","","","","","","","","","","88","17.6"
"Oronde Gadsden II","TE","LAC","0","0","22","30","36","","","","","","","","","","","","","","88","29.3"
"Tyrod Taylor","QB","NYJ","0","18","69","0","0","","","","","","","","","","","","","","87","43.5"
"Luke McCaffrey","WR","WAS","5","16","21","21","23","","","","","","","","","","","","","","86","17.2"
"Ty Johnson","RB","BUF","28","19","15","12","12","","","","","","","","","","","","","","86","17.2"
"Tre Harris","WR","LAC","5","18","25","12","25","","","","","","","","","","","","","","85","17.0"
"Tyrell Shavers","WR","BUF","17","25","12","14","17","","","","","","","","","","","","","","85","17.0"
"Ryan Flournoy","WR","DAL","0","11","24","16","34","","","","","","","","","","","","","","85","21.3"
"Greg Dortch","WR","ARI","10","10","16","43","5","","","","","","","","","","","","","","84","16.8"
"Elijah Higgins","TE","ARI","20","22","10","9","20","","","","","","","","","","","","","","81","16.2"
"Isaiah Davis","RB","NYJ","8","10","9","21","33","","","","","","","","","","","","","","81","16.2"
"David Moore","WR","CAR","12","12","56","1","0","","","","","","","","","","","","","","81","20.3"
"Colston Loveland","TE","CHI","38","36","6","0","bye","","","","","","","","","","","","","","80","26.7"
"Dillon Gabriel","QB","CLE","0","7","0","3","70","","","","","","","","","","","","","","80","26.7"
"Kylen Granson","TE","PHI","17","34","2","4","22","","","","","","","","","","","","","","79","15.8"
"Jaylin Noel","WR","HOU","17","15","9","17","21","","","","","","","","","","","","","","79","15.8"
"Van Jefferson","WR","TEN","7","17","24","19","12","","","","","","","","","","","","","","79","15.8"
"Nate Adkins","TE","DEN","0","0","18","34","27","","","","","","","","","","","","","","79","26.3"
"Jeremy McNichols","RB","WAS","13","16","15","19","15","","","","","","","","","","","","","","78","15.6"
"Hunter Long","TE","JAC","6","1","14","22","35","","","","","","","","","","","","","","78","15.6"
"Noah Fant","TE","CIN","26","17","18","0","15","","","","","","","","","","","","","","76","19.0"
"Luke Musgrave","TE","GB","17","21","13","25","bye","","","","","","","","","","","","","","76","19.0"
"John Bates","TE","WAS","37","9","0","0","30","","","","","","","","","","","","","","76","25.3"
"Tez Johnson","WR","TB","8","0","21","23","22","","","","","","","","","","","","","","74","18.5"
"Elijah Moore","WR","BUF","12","30","14","18","0","","","","","","","","","","","","","","74","18.5"
"Joe Burrow","QB","CIN","52","21","0","0","0","","","","","","","","","","","","","","73","36.5"
